M_id;T_id;Price_d2.1
160229;360002;нет
156014;355416;нет
125221;572791;нет
157152;360001;нет
140334;572937;нет
156559;360000;нет
140336;572936;нет
227821;487074;нет
198325;463274;нет
237570;424987;нет
125147;359051;нет
223259;326371;нет
107353;354185;нет
408058;561087;нет
110722;359447;нет
66311;366379;нет
99716;428048;нет
38431;361855;нет
54746;377042;нет
182770;470112;нет
48195;437430;нет
122694;358328;нет
241450;470116;нет
25637;365691;нет
59704;332471;25,6
136120;426003;нет
257522;474232;нет
45101;388371;нет
43465;388370;нет
128285;354129;нет
128278;358454;нет
75660;426002;нет
233972;466524;нет
138118;358396;нет
138116;358397;нет
138117;358398;нет
354199;580696;нет
141631;414535;нет
128281;465504;нет
120204;464612;200,88
140884;359211;нет
140885;359212;нет
306406;524215;нет
221061;464138;нет
170591;467656;нет
265797;469454;нет
265806;469455;нет
79072;362223;нет
131235;358994;нет
104923;359073;нет
66347;365588;нет
126513;358096;нет
102966;327079;нет
77469;330774;нет
102967;327061;нет
230878;468931;нет
186650;487111;нет
352811;557287;нет
156343;437428;нет
156345;437426;нет
156346;437429;нет
79073;375516;нет
79074;362222;нет
58346;380610;нет
79079;362423;нет
86711;425049;нет
86714;425067;нет
100185;349289;нет
100186;348185;нет
100187;348186;нет
100188;349049;нет
100189;357894;нет
100190;349050;нет
100191;349048;нет
100192;349051;нет
100193;349299;нет
100194;349300;нет
79984;370639;нет
79986;370641;нет
79974;370637;нет
79981;370638;нет
91957;353689;нет
83484;343445;нет
47343;370899;нет
45331;331892;нет
45099;336774;нет
47346;336782;нет
47345;362715;нет
47347;330404;нет
68011;327004;нет
47342;363879;нет
45097;331890;нет
45098;331891;нет
47344;329578;нет
45104;329407;нет
45101;329676;нет
61512;331012;нет
45464;329632;нет
68003;331380;нет
45095;335041;нет
51971;334961;нет
76710;357895;нет
60159;335042;нет
60098;332443;нет
53705;335818;нет
62162;331642;нет
48937;335995;нет
51969;336587;нет
51969;331377;нет
51606;336847;нет
87220;331013;нет
53712;334843;нет
54635;335588;нет
51580;350841;нет
51581;334882;нет
87219;331352;нет
74867;331378;нет
62162;336783;нет
65495;335233;нет
51579;335853;нет
75390;335438;нет
75389;335436;нет
65496;335234;нет
65498;332098;нет
60163;336160;нет
60161;336161;нет
75441;335379;нет
73047;335297;нет
60157;348348;нет
71012;348350;нет
65497;332099;нет
55839;336853;нет
60098;335383;нет
68761;335799;нет
65494;332100;нет
74868;334883;нет
71011;335797;нет
51582;335587;нет
51583;335039;нет
65493;332102;нет
61896;351079;нет
84120;331246;нет
65568;334320;нет
82755;335298;нет
83626;335296;нет
61515;331379;нет
79542;332642;нет
54883;334881;нет
65567;336075;нет
79985;375517;нет
114452;432424;нет
114457;346975;12,09
101630;378718;нет
114461;359149;нет
101629;359147;12,11
101631;359148;12,26
79976;368885;нет
85944;369725;нет
85940;336563;нет
85941;366864;нет
79991;378167;нет
79990;362411;нет
79992;371432;нет
79989;362405;нет
79975;335038;нет
43461;335010;нет
43462;331881;нет
43463;331883;нет
43464;331301;нет
53694;332409;нет
76650;364248;нет
79897;331596;нет
101896;351932;нет
79906;336884;нет
79907;336885;нет
79908;334062;нет
58353;370968;нет
79909;379524;нет
79910;334959;нет
79912;331597;нет
79913;365091;нет
79914;331878;нет
79915;331879;нет
75152;384127;нет
58351;365375;нет
58351;365888;нет
58371;369683;нет
79917;369045;нет
79997;369095;нет
58344;365206;нет
58372;365241;нет
58358;371619;нет
79922;335585;нет
62580;336590;нет
62581;335584;нет
62582;336294;нет
58363;335200;нет
75373;369058;нет
80002;334960;нет
79928;336280;нет
79929;345621;нет
58377;370409;нет
58378;400791;нет
72640;369112;нет
79933;366865;нет
58381;369287;нет
58381;386053;нет
58382;369288;нет
58364;403737;нет
58364;370969;нет
80008;368128;нет
58364;405261;нет
58384;369097;нет
79938;336848;нет
79939;370408;нет
79940;362257;нет
67311;363496;нет
78692;361654;нет
66203;369098;нет
79946;369099;нет
79901;336319;нет
66205;370066;нет
66206;403588;нет
66207;378599;нет
66208;370387;нет
79951;403589;нет
79902;336295;нет
79959;432416;нет
79903;336296;нет
79904;336297;нет
79905;336298;нет
285911;477200;нет
65681;341674;нет
37093;352422;нет
97719;339047;нет
97722;339048;нет
125575;355414;нет
160988;362642;нет
186887;466734;нет
333596;557589;нет
419902;581837;нет
106706;511167;нет
224103;504874;нет
94307;400135;нет
94287;345436;нет
73675;337877;нет
75959;369499;нет
134169;438323;нет
181756;510639;нет
202166;504940;нет
225267;505049;нет
266877;474224;нет
264193;474225;нет
229583;465937;нет
266879;474226;нет
264189;474230;нет
137286;358730;нет
125265;327036;нет
177798;436357;нет
137285;359465;нет
137459;358102;нет
125264;326610;нет
138848;352851;113,01
128276;436208;нет
131705;358134;нет
28702;364196;нет
62086;364285;нет
36599;361900;нет
88365;403483;нет
300091;529825;нет
84661;468236;нет
17055;362744;нет
68649;346134;нет
140331;425093;нет
313328;529873;нет
313325;463140;нет
164758;534009;нет
189372;533586;нет
157200;531782;нет
180833;533249;нет
276351;533952;нет
172564;533296;нет
172564;531378;нет
79244;346800;нет
156832;425188;нет
134482;431220;72,58
134503;359276;нет
107565;531636;нет
117707;532087;нет
107999;533721;нет
89145;370622;нет
113654;357795;нет
117726;357796;нет
113658;357797;нет
113660;357798;нет
113668;357800;нет
113664;358616;нет
113662;357799;нет
113666;358617;нет
338605;580826;нет
244566;580850;нет
43839;366926;нет
14861;361778;нет
47494;365330;нет
96795;372816;нет
165286;390679;нет
181354;465470;нет
158336;465469;нет
158336;465468;нет
175548;467160;нет
4313564;580659;нет
46673;331888;нет
73451;382285;нет
137294;412435;нет
81021;362340;нет
113312;354275;нет
31417;365110;нет
44797;531888;нет
133833;409171;нет
190670;439796;нет
95355;337334;нет
78761;369412;нет
172032;437887;нет
70167;332266;нет
70166;330356;нет
190668;439655;нет
109237;353773;нет
112813;404072;нет
173385;437631;нет
76274;401498;нет
76273;347145;нет
76275;377087;нет
385900;568241;нет
158202;425165;нет
123686;533688;нет
99292;388936;нет
314875;565177;нет
86404;405410;нет
64880;340128;нет
61844;365547;нет
177328;468800;нет
300094;557256;нет
330775;577527;нет
392870;570353;нет
89963;329682;нет
149823;427731;нет
73633;369822;нет
78098;368952;нет
169383;531264;нет
44589;387871;нет
103777;575352;нет
44590;365808;нет
47886;363855;нет
47886;382303;нет
170472;532011;нет
150634;531662;нет
150633;533619;нет
88152;382965;нет
148656;532944;нет
140736;553937;нет
111756;532096;нет
158424;531978;нет
44587;364499;нет
47401;364906;нет
40505;366735;нет
33617;366217;нет
35437;390164;нет
33617;382286;нет
117048;405560;14,13
158923;531111;нет
78096;364354;нет
46553;379299;нет
36597;361585;22,43
27451;360814;нет
86670;570989;нет
161552;438494;нет
161553;438495;нет
374756;568533;нет
66019;329383;нет
99576;352735;нет
78253;346463;нет
99577;357038;нет
99575;357037;нет
78251;357036;нет
78252;345866;нет
171895;438114;нет
171896;436358;нет
82990;385826;нет
82991;385450;нет
80894;387257;нет
81996;386132;нет
80895;386133;нет
82993;387255;нет
112179;386136;нет
80899;385453;нет
80900;385452;нет
82992;385447;нет
80903;387462;нет
80904;387463;нет
80905;386373;нет
88949;385449;нет
85923;353154;нет
190321;439431;нет
158285;530991;нет
158283;532662;нет
158288;533533;нет
158287;577678;нет
158283;581996;нет
158285;581997;нет
158283;581998;нет
158283;581999;нет
158285;581987;нет
85433;534004;нет
117258;396225;нет
85424;397337;нет
137187;531880;нет
170382;533691;нет
88872;390784;нет
88877;397731;нет
88880;392888;нет
112878;387898;нет
113014;386899;нет
88882;392794;нет
112874;401620;нет
88883;385669;нет
32810;387658;нет
88866;387659;нет
88885;386901;нет
112890;386902;нет
88887;401622;нет
88870;394732;нет
33114;389677;нет
32810;387660;нет
40774;386177;нет
32870;395264;нет
109264;401195;нет
35018;392052;нет
28620;389055;нет
109269;395623;нет
43420;401256;нет
27611;387171;нет
65048;388662;нет
116857;386888;нет
73515;385539;нет
73516;391390;нет
116856;392693;нет
116854;386889;нет
122971;570754;нет
151355;365476;нет
120521;329703;нет
149431;340644;нет
151357;330101;нет
115261;334935;нет
116658;346332;нет
137954;366884;нет
135942;335293;нет
120161;334844;нет
115280;380775;нет
138966;334845;нет
120162;373154;нет
116660;369934;нет
135948;363179;нет
121426;369396;нет
135947;384826;нет
115262;367154;нет
135949;328963;нет
115268;334936;нет
353570;467586;нет
116669;334966;нет
120525;339321;нет
343612;467110;нет
343613;555475;нет
80868;393302;нет
84384;329920;нет
80807;371559;нет
80868;354500;нет
65994;366580;нет
137919;332969;72,62
137918;332822;37,43
43034;332408;нет
35791;329032;нет
149823;463139;нет
80559;366859;нет
54895;362174;нет
73634;363625;нет
101482;380656;нет
101482;383943;нет
65794;364344;нет
65795;363254;нет
59372;362525;нет
232461;530842;нет
229376;470111;нет
144109;468237;нет
144108;570142;нет
173007;524209;нет
81024;355419;нет
81027;355418;нет
114101;355307;нет
301148;555465;нет
314880;529826;нет
194544;331403;нет
304206;573769;нет
304207;573760;нет
171528;438505;нет
164491;438438;нет
164490;438439;нет
113814;356900;нет
141226;360287;нет
134329;358741;нет
138616;360286;нет
196906;462079;141,6
90350;468716;128,54
307803;525293;нет
183637;439348;нет
307804;525294;153,3
68568;577203;нет
110100;357651;нет
62453;333642;нет
234766;533686;нет
39772;570809;нет
234764;570897;нет
179226;438363;нет
191545;561170;нет
102584;400542;нет
60321;361796;нет
100164;360788;нет
117210;329975;нет
181398;438535;нет
181403;438539;нет
89123;332631;нет
89124;332632;нет
112899;357217;нет
96941;363544;нет
66149;382224;нет
138353;358808;нет
60318;361797;нет
193085;575953;нет
138354;358270;нет
181401;438538;нет
101128;448487;нет
99011;368975;нет
117206;361234;нет
117207;361516;нет
69441;366934;нет
99009;334310;нет
99009;329267;нет
117205;361318;нет
88617;366861;нет
60110;367452;нет
67074;336812;нет
89157;373210;нет
195304;467687;нет
89155;373145;нет
66167;371344;нет
82551;347304;нет
82549;344420;нет
61899;350776;нет
61902;333056;нет
82550;357648;нет
61901;333057;нет
82552;357650;нет
82548;357649;нет
61903;333595;нет
61900;348496;нет
76311;379569;нет
31625;465922;нет
76910;382155;нет
79310;369229;нет
79312;369697;нет
76909;369226;нет
181400;438537;нет
190492;357150;нет
77607;365850;нет
84122;369803;нет
69441;366935;нет
47911;361890;нет
77606;367253;нет
96938;334139;нет
96939;333661;нет
49114;368429;нет
112898;357218;нет
181399;438536;нет
160432;432327;нет
160434;432321;нет
138935;358555;нет
66196;370000;нет
69568;364929;нет
76311;345240;нет
76279;344762;нет
55272;330815;нет
190755;362657;нет
175254;331140;нет
79261;332144;нет
74400;364930;нет
177359;346377;нет
89153;385846;нет
88913;367512;нет
97490;361358;нет
88653;368643;нет
69365;328248;нет
69364;329413;68,62
89907;565016;нет
190076;462318;нет
75808;382502;нет
60311;366541;нет
42747;367039;нет
282612;568311;нет
78065;375269;нет
51160;381737;нет
104341;382211;нет
104342;380808;нет
124009;403408;нет
124010;403410;нет
124008;403407;нет
104341;403406;нет
124011;403411;нет
124012;403412;нет
124013;403413;нет
89721;390094;нет
89722;398175;нет
89725;390095;нет
89723;386906;нет
89726;392441;нет
89716;365816;нет
89711;364888;нет
89721;365813;нет
103548;377512;нет
89719;364619;нет
89714;383807;нет
89724;365815;нет
117060;401234;нет
103560;382517;нет
103561;376239;нет
103559;376237;нет
103556;376100;нет
89715;364890;нет
89725;364889;нет
89717;364618;нет
89717;364887;нет
89722;365814;нет
89718;364620;нет
89713;364621;нет
89723;362219;нет
89726;401308;нет
241424;468234;нет
187060;532521;нет
80561;366223;нет
27807;361714;нет
73091;368013;нет
132977;329251;нет
55424;334846;нет
107360;468238;нет
22157;468766;10,99
120470;577056;нет
384146;565161;нет
138766;524210;нет
117663;360241;нет
68689;470113;11,76
68689;379713;11,76
374316;571268;нет
51956;327650;нет
293862;524348;нет
61722;369495;нет
384208;568029;нет
225433;465464;нет
81258;394490;нет
89910;467165;нет
237883;575383;нет
96936;386811;нет
48414;354109;нет
116951;403449;нет
116943;403447;нет
116945;402874;нет
116953;402875;нет
48413;355158;нет
107753;351447;207,98
167222;425943;нет
196772;376983;нет
196771;474340;нет
127215;357672;158,36
198721;469523;нет
198722;469522;нет
372279;558923;нет
161198;572787;нет
198724;469519;нет
198723;469520;нет
198727;469521;нет
198725;469516;нет
287739;486960;нет
237479;580880;нет
38996;329791;нет
30080;328418;нет
128381;432224;нет
169365;358787;нет
110595;400262;нет
397212;573671;нет
303684;514068;нет
44663;367795;нет
59435;331322;нет
139552;358763;нет
139553;358764;нет
169316;432273;нет
108070;425920;нет
108066;425921;нет
291784;466713;105,48
101391;561083;нет
137290;360062;нет
137287;357986;нет
137291;359938;нет
137807;331646;нет
129749;356630;нет
129714;356631;нет
137288;330821;нет
75510;350254;нет
47274;374654;нет
309733;526399;24,51
4880;413628;нет
155472;572826;нет
56773;370496;нет
132110;331567;нет
43706;365063;нет
342881;557125;нет
136474;358482;нет
85578;327499;нет
73485;327502;нет
108511;348695;нет
88000;363415;нет
237873;570007;нет
237877;576761;нет
237875;570005;нет
237884;578732;нет
96934;326955;нет
52629;329708;нет
60072;369640;нет
96947;370028;нет
89214;370626;нет
89216;370628;нет
89215;370627;нет
178410;464800;нет
28963;351785;нет
81013;364804;нет
89151;575926;нет
62453;575868;нет
55010;364417;4,29
62453;362680;нет
97492;330644;нет
384019;567849;нет
233254;467085;нет
88945;371611;нет
120851;357540;нет
69366;334387;нет
85144;575986;нет
179567;576734;нет
100753;369339;нет
78067;369106;нет
55924;371626;нет
85225;364955;нет
129558;327918;нет
47888;369823;нет
169780;575566;нет
229175;487089;нет
229176;470115;нет
229177;487091;нет
304649;568305;нет
135050;405502;нет
342103;562420;нет
91688;371313;нет
181021;456294;нет
374909;576571;52,19
70815;327348;нет
73641;371538;нет
332263;561010;нет
80810;364176;нет
80811;373622;нет
61188;328243;нет
274078;576277;нет
258554;565022;нет
62332;362099;нет
62333;366456;нет
84514;363604;нет
245030;475284;127,71
129754;576949;нет
85744;353200;нет
186954;559092;нет
68572;468767;нет
237590;473683;нет
125834;357635;нет
2;528993;нет
200365;467263;нет
230053;555458;нет
68275;386240;нет
70451;362797;нет
135052;405506;нет
124804;359725;нет
144163;359724;нет
26552;329493;нет
27090;329066;нет
95058;338939;нет
95057;339583;нет
193424;462910;нет
234730;467228;184,36
290291;574046;нет
293357;438147;нет
85226;364956;нет
87066;373642;нет
308996;568044;208,62
84492;363605;нет
72361;353775;нет
72361;333567;нет
75972;369668;нет
75972;369669;нет
75974;364870;нет
75975;364871;нет
76021;363499;нет
76022;363500;нет
76023;363501;нет
76024;384511;нет
75980;363502;нет
75981;363503;нет
75982;363504;нет
75983;364663;нет
75987;364447;нет
75984;405279;нет
75985;364662;нет
75986;369178;нет
37259;394370;нет
64159;398058;нет
64158;394642;нет
167234;576060;нет
70486;390193;нет
111371;577281;нет
109430;388017;нет
78856;369740;нет
82062;366511;нет
240765;363680;нет
75230;368714;нет
75229;368715;нет
391909;568451;нет
74793;337270;нет
148422;412640;нет
148417;438506;нет
115327;403409;нет
81282;336767;нет
374318;564374;нет
66310;370392;нет
103156;499382;нет
162742;574054;нет
179749;439018;116,44
233102;467265;194,07
247642;487084;77,63
98913;394643;нет
179186;438208;нет
179397;438673;нет
58408;366360;нет
58408;332332;нет
58409;330940;нет
58406;364374;нет
58406;332292;нет
58407;330628;нет
227172;466665;нет
227173;466667;нет
227168;466666;нет
227171;466664;нет
227164;466663;нет
227166;466662;нет
295518;568512;нет
70485;398739;нет
94288;348168;нет
172585;468717;нет
70168;365911;нет
380122;564566;нет
54912;331118;нет
196822;564421;нет
196825;564424;нет
196824;564422;нет
196823;564423;нет
129066;355420;нет
68604;371481;нет
289616;496465;нет
289618;496466;нет
380176;573612;552
380062;570224;368
380177;563139;88,55
390906;564546;126,5
148314;467124;нет
191780;467126;нет
122912;467125;нет
69713;366163;нет
183526;459514;нет
394779;580481;нет
140874;575639;нет
159518;356055;нет
58721;362361;нет
58721;362362;нет
134252;369535;нет
63021;366751;нет
48846;382383;нет
38660;373043;нет
55715;371428;нет
55715;402653;нет
79823;401250;нет
29578;372216;нет
73021;332346;нет
73021;402652;нет
136965;403486;нет
136964;371956;нет
134382;403283;нет
134383;361282;нет
134384;327316;нет
139862;366085;нет
24310;362470;нет
24306;370721;нет
24307;372259;нет
24307;362206;нет
24306;377244;нет
24306;329216;нет
138495;361279;нет
52581;329211;нет
160645;475268;нет
160645;363811;нет
150493;360128;нет
293837;475269;нет
293838;474366;нет
160249;362815;нет
150327;329569;нет
134404;358450;нет
52580;329209;нет
52579;329210;нет
52581;362814;нет
62837;361085;нет
62842;367561;нет
62838;361086;нет
62840;384050;нет
39078;404736;нет
131999;353630;нет
38661;404737;нет
164529;438757;нет
121771;354993;нет
129768;438756;нет
150331;374716;нет
24303;382974;нет
24303;380139;нет
136977;363149;нет
24303;329002;нет
