M_id;T_id;Price_d3
163976;432138;153,85
340638;565214;125,3
146608;436311;132,7
133197;436410;9,15
133198;329809;17
86648;355013;15,55
23028;570780;16,9
21950;570980;21,4
153673;570943;29,9
109264;570917;26,25
62526;570953;23,75
27595;570975;19,55
27596;570985;27,3
23042;570889;16,75
21964;570756;23,65
48821;570987;21,45
21952;571026;25,9
27600;570981;20,4
21953;570999;25
27601;570752;23,45
21954;570886;45,1
28613;570765;18,45
109265;570785;15,45
109266;570915;19,5
23033;570826;17,6
99953;576254;13,8
21956;570801;20,35
28616;570961;19,25
27605;570786;30,15
126763;570794;50,95
27607;570793;27,35
115784;578733;16,9
23037;570764;17,1
85775;570821;27,45
23040;570982;16,2
73173;570934;15,95
153689;570798;26,45
62237;571000;27
21958;570802;31,35
23036;570892;20,35
21957;570979;15,25
85937;580505;29,5
85937;580359;29,5
85937;580432;29,5
391680;570677;18,2
391683;570679;18,15
360861;570676;18,4
360860;570675;18,1
360862;567212;15,85
177330;529824;106,95
87964;400787;18,35
234766;327678;44,55
151140;359362;103,65
83407;384635;13,95
95086;345396;23,18
76355;329373;32,03
103958;450294;22,53
103964;360118;22,93
30815;328304;34,06
95423;346968;22,78
123149;355652;276,35
127094;578760;20,05
103852;577720;17,45
77973;332171;21,25
77973;573471;21,25
71940;576221;332,6
71940;330888;332,6
82999;349401;136,6
294273;571237;120,65
316954;574061;6,75
54891;335760;21,5
314000;575428;38,2
39866;379376;238
39866;362461;238
85372;348690;26,05
194115;452190;665,75
151253;431763;603,85
110112;405559;333,05
347807;564126;198
101126;349195;24,6
59699;332470;24,8
59701;332473;18,55
60452;370433;31,65
101125;376089;28
86657;377088;32,65
50808;329114;10
252910;564244;75,7
265037;563849;195,05
85934;372196;20,3
233738;467185;97,3
36502;364555;62,55
59834;361696;52,75
59835;382547;79,55
232804;573937;9,95
128877;440016;112,55
105713;439399;301,3
105712;427707;117,9
171748;465900;780,15
308370;464158;115,65
168770;431034;96,9
17622;366062;96,9
129978;358111;93,35
35795;329836;198,8
343691;576794;15,95
137705;535594;41
46488;335203;22,65
14857;329295;326,35
35762;329296;136,15
36505;387587;209,85
143791;359158;50,8
37269;330784;22,15
159748;438722;117,15
77973;370247;21,25
103849;447998;17,55
83839;448000;18,25
103619;404951;45,8
223369;580815;14,25
82693;353885;64,2
229434;466028;15,6
45877;326981;22,6
286249;468801;125,1
394457;425898;64,4
412741;580980;97,05
237761;467209;72,45
164627;426085;74,05
163603;426025;72,45
51617;335816;36,3
139390;436310;53,1
20505;366539;46,99
108058;354507;52,05
350234;565162;196,35
349021;557569;190,25
278393;476287;106,35
400455;567941;136,75
309064;573658;45,35
36813;386839;126
36504;369989;94,8
183906;487110;87
97826;336542;90,1
48115;327231;22,65
188951;440189;29,4
20499;578818;10,36
107932;569998;4,7
170581;578790;9,2
110099;358219;34,95
135568;573689;24,45
135580;573582;24,45
355418;558768;85,15
134483;431064;76,55
170786;431595;202,05
189583;470685;107,4
162984;438888;302,85
347705;573916;74,15
170577;577533;16,05
109264;575406;26,25
99966;575458;42
107117;577275;20,1
99962;577274;13,85
221060;464137;151,1
82691;331424;79,7
287959;578809;39,6
143794;465843;45,7
291220;569669;89,8
355216;558894;169,6
125844;330051;54,9
112994;363424;21,85
58469;572856;36,2
191547;496467;85,5
94807;338940;57,35
306407;524196;59,35
80509;331759;77,9
353053;559063;81,35
41666;366560;28,15
41667;329212;56,5
270927;535592;63,05
133311;573699;26,15
41666;571028;28,15
150105;573607;76,5
116388;524463;62,75
147095;359342;207,75
46088;327232;22,65
134484;425897;76,9
397168;568557;252,75
191359;487154;94,4
77602;379888;24,55
77603;402254;33,45
77605;380036;39,8
174630;438206;173,9
114702;576520;143,69
300100;559074;126,35
73652;335232;21,85
266881;564233;144,85
23587;571003;7,1
62336;363203;28,05
62337;370711;49,55
168988;436216;57,3
200736;357615;136,8
62226;366331;12,7
28114;362578;39,45
28613;365424;18,45
21957;363170;15,25
27605;370666;30,15
62234;361982;14,4
27606;388177;20,6
23028;363897;16,9
23040;369817;16,2
32281;365677;61,3
34800;362859;37,75
88846;578761;16
88846;581842;16
73853;371969;9,25
73853;374205;9,25
200808;463359;22,4
21959;379626;20,35
62237;381376;27
117404;463596;105,35
120121;577018;255,75
17625;330615;249,25
106220;431562;124,55
350238;568817;172,6
175835;437493;200,1
191360;463105;74,65
201736;466925;306,25
54889;329634;22,65
86403;352885;52,2
102044;357654;28,4
102041;357655;28,45
125563;330823;26,65
110095;329566;26
86403;347110;52,2
84533;338372;35,8
87994;376874;24,65
355215;558893;206,1
131228;359871;370,25
49115;329774;18,15
164132;425749;18,15
138584;438286;17,95
173225;553912;17,95
108826;356303;12,8
48404;345406;13
108823;353250;12,8
47523;353311;12,8
47527;346084;12,8
47529;356304;12,85
47517;353613;12,85
144681;359472;122,45
144682;359311;125
309285;526166;96,6
165097;431399;65,8
123188;408806;37,9
54898;335761;22,55
295837;514554;168,85
287063;486989;166,25
287062;486990;159,95
142365;565346;99,9
46566;329998;21,65
91683;345287;155,2
37793;331475;154,45
55150;330366;194,15
90854;331184;31,3
89244;329615;31,35
89905;334622;31,4
409313;573866;64,15
77866;377338;9,8
229429;564162;31,65
111322;358240;170,4
30177;346665;23,45
239522;573541;9,1
57753;365229;115,15
275510;555466;59,65
275508;533725;40,35
106033;405380;74,55
162933;337953;6,8
303602;576604;11,35
71672;348852;84,2
182084;438501;162
328604;558922;119,45
225006;529553;105,8
361297;580855;130,9
350248;568532;117,15
240840;580881;68,15
83839;570796;18,25
117323;361911;19,15
167525;576809;10,45
296910;573586;20,15
296915;573331;27,85
177807;573520;21,3
65137;362238;28,85
137769;327681;18,5
37331;329729;6,2
45880;326980;22,6
58468;369407;19,4
193087;580543;55,6
143779;360103;71,35
263037;576308;108,3
229435;578747;15,45
183527;439197;78,35
157163;447934;146,75
109261;354126;60,3
307547;570877;50,8
87560;425064;10,4
190794;452189;140,55
225003;465503;173,25
56163;363182;31,3
56154;363287;31,9
118157;425868;148,85
128975;425871;193,75
347757;564681;54,75
225794;474346;31
324039;580885;42,15
46160;467329;113,8
36496;387357;100,05
36496;580882;100,05
133191;431719;104,15
233772;575810;29,15
34906;393699;44,35
34906;388174;44,35
34905;365948;26,75
328616;564555;109,9
304626;524458;227,45
191549;580877;79,5
77469;576208;18,3
77469;365109;18,3
286235;486485;42,45
228761;466446;224,2
299366;565393;22,3
299365;565394;21
268059;564247;22,6
274094;469515;196,45
54896;332101;22,45
75865;369676;7,15
75866;365535;14,1
75866;332545;14,1
191596;577769;112,45
103183;390210;205,8
67297;368477;116,85
103183;383946;205,8
199847;465425;135,9
286239;573452;90,85
283383;564243;118,9
378021;565395;193,15
124931;466326;143
125608;562097;28,45
46267;370226;22,3
46267;330191;22,3
174438;569882;142,59
149533;577143;16,65
128980;439411;27,4
352812;557288;67,75
352814;557289;37,95
88936;404932;60,25
90771;362208;148,85
54884;362553;23,8
61849;371220;59,55
125610;562098;21,25
97053;358380;45,25
97055;358378;41,45
97056;358379;44,85
97054;358376;43,45
73549;358377;34,7
45632;330743;42,7
42746;334603;129,9
128974;439413;27,45
128981;439412;32,15
111519;353013;31,75
140747;405861;130,35
191361;564500;94,5
