ID_MORION;Money;Quantity
4779;25932,03417;343,1741498
4780;8048,072575;70,43882217
4783;245,0478806;3,361182558
4784;2413,56964;12,84337486
4808;3122560,733;23353,12189
4811;340066,6657;521,3445227
4812;70646,54284;538,5805391
4842;313647,842;84261,52514
4844;97848,42816;25282,27192
4850;1497714,447;325593,4473
4851;54845,38756;5812,061911
4854;394583,301;33541,55669
4856;79,00514268;6,58376189
4858;317055,1669;14067,95227
4863;291542,6069;84521,91626
4880;1311232,141;8138,777768
4882;8446,383595;2390,767625
4883;118697,7974;20192,85385
4886;34496,60711;6980,776932
4888;147548,027;508,2180445
4899;22917,93361;10021,89933
4900;2149779,92;666747,9691
4901;53,14341335;16,15765011
4912;419842,55;30765,16145
4915;85,30922302;4,467522982
4918;60022,3744;569,4928022
4920;1198364,126;29721,49019
4923;7,79326453;1,484431339
4929;528832,9485;10415,68002
4935;1393564,281;83641,78649
4937;19804,1286;1927,605977
4941;20969,9067;224,1908449
4946;4603,61169;125,0785038
4949;290096,3852;6429,052887
4954;1670490,999;97891,35574
4956;4388,446445;137,0623098
4958;252428,216;270,1896174
4960;454078,471;17586,7575
4961;374372,6274;23164,90886
4965;7,620678254;0,799651443
4968;73385,1968;992,3450489
4985;2432,320231;345,6403752
4990;176847,2521;3808,686495
4991;2481,240118;726,5564694
4992;59865,12571;2895,370915
4993;68425,94321;1728,053758
5003;264269,4255;15059,90897
5007;23396,28143;222,5704135
5009;417311,2886;4001,439035
5013;74246,43083;179,8142698
5017;288077,9483;30836,91128
5022;46171,1714;1551,481529
5028;582097,7517;34325,26719
5041;125289,1288;1491,119797
5050;2916911,33;31339,6348
5051;7847,654001;2644,171128
5054;317657,2932;26980,5235
5060;804657,2681;27099,4792
5061;213217,8326;7938,071888
5067;1225,716157;131,7699913
5071;13044,9601;1180,280359
5074;2537710,389;48662,11789
5075;224999,2276;10387,07084
5080;696677,0294;97232,52036
5096;146,661632;14,27990469
5100;3337899,7;90173,56301
5105;262007,4346;11501,86697
5106;286794,8623;26736,30515
5110;126002,7073;5146,126734
5112;573675,9201;13265,51256
5118;191434,663;11259,58786
5122;964236,0398;3855,948761
5136;1778053,663;221022,4702
5147;164321,2295;1635,913629
5149;4261,160562;231,955175
5151;38424,58666;339,3508872
5152;164225,9701;12585,87719
5153;1484552,889;75093,2031
5163;21091,79318;666,4167257
5180;107076,6227;9187,89893
5184;579029,9664;22736,20972
5199;207429,8861;14562,64746
5215;101,1142775;2,171721014
