M_id;T_id;Price_2.2
156559;360000;4,76
140336;572936;нет
227821;487074;222,88
198325;463274;99,68
237570;424987;нет
125147;359051;нет
223259;326371;60,14
107353;354185;нет
408058;561087;нет
110722;359447;нет
66311;366379;нет
99716;428048;71,04
38431;361855;15,05
54746;377042;нет
182770;470112;нет
48195;437430;нет
122694;358328;нет
241450;470116;169,05
25637;365691;50,55
59704;332471;нет
136120;426003;нет
257522;474232;нет
45101;388371;нет
43465;388370;нет
128285;354129;218,3
128278;358454;319,2
75660;426002;нет
233972;466524;нет
138118;358396;нет
138116;358397;7,63
138117;358398;9,67
354199;580696;144,43
141631;414535;76,94
128281;465504;128,69
120204;464612;нет
140884;359211;79,98
140885;359212;95,06
306406;524215;56,49
221061;464138;73,93
170591;467656;17,13
265797;469454;128,97
265806;469455;267,31
79072;362223;нет
131235;358994;нет
104923;359073;нет
66347;365588;нет
126513;358096;120,41
102966;327079;нет
77469;330774;18,44
102967;327061;нет
230878;468931;97,24
186650;487111;нет
352811;557287;64,21
156343;437428;нет
156345;437426;24,22
156346;437429;25,02
79073;375516;13,94
79074;362222;нет
58346;380610;нет
79079;362423;нет
86711;425049;нет
86714;425067;нет
100185;349289;нет
100186;348185;нет
100187;348186;нет
100188;349049;нет
100189;357894;нет
100190;349050;нет
100191;349048;нет
100192;349051;нет
100193;349299;нет
100194;349300;нет
79984;370639;нет
79986;370641;нет
79974;370637;12,84
79981;370638;нет
91957;353689;нет
83484;343445;нет
47343;370899;нет
45331;331892;нет
45099;336774;нет
47346;336782;нет
47345;362715;нет
47347;330404;нет
68011;327004;нет
47342;363879;нет
45097;331890;нет
45098;331891;нет
47344;329578;нет
45104;329407;нет
45101;329676;нет
61512;331012;нет
45464;329632;нет
68003;331380;нет
45095;335041;нет
51971;334961;нет
76710;357895;нет
60159;335042;нет
60098;332443;нет
53705;335818;нет
62162;331642;нет
48937;335995;нет
51969;336587;нет
51969;331377;нет
51606;336847;нет
87220;331013;нет
53712;334843;нет
54635;335588;нет
51580;350841;нет
51581;334882;нет
87219;331352;нет
74867;331378;нет
62162;336783;нет
65495;335233;нет
51579;335853;нет
75390;335438;нет
75389;335436;нет
65496;335234;нет
65498;332098;нет
60163;336160;нет
60161;336161;нет
75441;335379;нет
73047;335297;нет
60157;348348;нет
71012;348350;нет
65497;332099;нет
55839;336853;нет
60098;335383;нет
68761;335799;нет
65494;332100;нет
74868;334883;нет
71011;335797;нет
51582;335587;нет
51583;335039;нет
65493;332102;нет
61896;351079;нет
84120;331246;нет
65568;334320;нет
82755;335298;нет
83626;335296;нет
61515;331379;нет
79542;332642;нет
54883;334881;нет
65567;336075;нет
79985;375517;нет
114452;432424;15,88
114457;346975;нет
101630;378718;12,54
114461;359149;12,53
101629;359147;нет
101631;359148;нет
79976;368885;нет
85944;369725;нет
85940;336563;15,96
85941;366864;нет
79991;378167;нет
79990;362411;нет
79992;371432;нет
79989;362405;нет
79975;335038;12,55
43461;335010;нет
43462;331881;нет
43463;331883;нет
43464;331301;нет
53694;332409;нет
76650;364248;нет
79897;331596;12,53
101896;351932;33,22
79906;336884;12,71
79907;336885;12,46
79908;334062;12,43
58353;370968;нет
79909;379524;15,86
79910;334959;12,52
79912;331597;12,42
79913;365091;12,76
79914;331878;12,69
79915;331879;12,46
75152;384127;нет
58351;365375;нет
58351;365888;нет
58371;369683;нет
79917;369045;нет
79997;369095;7,86
58344;365206;нет
58372;365241;нет
58358;371619;нет
79922;335585;12,42
62580;336590;нет
62581;335584;нет
62582;336294;нет
58363;335200;нет
75373;369058;нет
80002;334960;нет
79928;336280;нет
79929;345621;6,29
58377;370409;нет
58378;400791;нет
72640;369112;нет
79933;366865;6,88
58381;369287;нет
58381;386053;нет
58382;369288;нет
58364;403737;нет
58364;370969;нет
80008;368128;нет
58364;405261;нет
58384;369097;нет
79938;336848;16,02
79939;370408;17,3
79940;362257;нет
67311;363496;нет
78692;361654;нет
66203;369098;нет
79946;369099;нет
79901;336319;12,56
66205;370066;нет
66206;403588;нет
66207;378599;нет
66208;370387;нет
79951;403589;13,62
79902;336295;12,45
79959;432416;15,89
79903;336296;12,45
79904;336297;12,5
79905;336298;12,46
285911;477200;133,19
65681;341674;нет
37093;352422;нет
97719;339047;18,36
97722;339048;34,02
125575;355414;231,66
160988;362642;нет
186887;466734;36,2
333596;557589;нет
419902;581837;92,36
106706;511167;нет
224103;504874;нет
94307;400135;нет
94287;345436;нет
73675;337877;35,2
75959;369499;30,6
134169;438323;нет
181756;510639;нет
202166;504940;нет
225267;505049;нет
266877;474224;214,08
264193;474225;303,82
229583;465937;166,49
266879;474226;261,71
264189;474230;нет
137286;358730;нет
125265;327036;нет
177798;436357;нет
137285;359465;нет
137459;358102;нет
125264;326610;нет
138848;352851;нет
128276;436208;160,81
131705;358134;нет
28702;364196;нет
62086;364285;нет
36599;361900;нет
88365;403483;нет
300091;529825;135,57
84661;468236;10,25
17055;362744;нет
68649;346134;6,96
140331;425093;нет
313328;529873;нет
313325;463140;нет
164758;534009;нет
189372;533586;нет
157200;531782;нет
180833;533249;нет
276351;533952;82,94
172564;533296;42,05
172564;531378;42,05
79244;346800;126,46
156832;425188;75,89
134482;431220;нет
134503;359276;нет
107565;531636;нет
117707;532087;нет
107999;533721;17
89145;370622;нет
113654;357795;нет
117726;357796;нет
113658;357797;нет
113660;357798;нет
113668;357800;нет
113664;358616;нет
113662;357799;нет
113666;358617;нет
338605;580826;31,35
244566;580850;74,97
43839;366926;151,98
14861;361778;255,82
47494;365330;нет
96795;372816;нет
165286;390679;нет
181354;465470;нет
158336;465469;нет
158336;465468;нет
175548;467160;нет
4313564;580659;нет
46673;331888;21,65
73451;382285;нет
137294;412435;79,3
81021;362340;нет
113312;354275;нет
31417;365110;нет
44797;531888;нет
133833;409171;нет
190670;439796;нет
95355;337334;нет
78761;369412;нет
172032;437887;нет
70167;332266;нет
70166;330356;нет
190668;439655;нет
109237;353773;нет
112813;404072;нет
173385;437631;нет
76274;401498;нет
76273;347145;нет
76275;377087;нет
385900;568241;190,26
158202;425165;нет
123686;533688;81,26
99292;388936;нет
314875;565177;нет
86404;405410;нет
64880;340128;нет
61844;365547;нет
177328;468800;нет
300094;557256;79,31
330775;577527;нет
392870;570353;50,63
89963;329682;нет
149823;427731;нет
73633;369822;нет
78098;368952;нет
169383;531264;нет
44589;387871;нет
103777;575352;нет
44590;365808;нет
47886;363855;нет
47886;382303;нет
170472;532011;нет
150634;531662;нет
150633;533619;нет
88152;382965;нет
148656;532944;6,32
140736;553937;нет
111756;532096;нет
158424;531978;нет
44587;364499;нет
47401;364906;нет
40505;366735;нет
33617;366217;нет
35437;390164;нет
33617;382286;нет
117048;405560;нет
158923;531111;нет
78096;364354;нет
46553;379299;нет
36597;361585;нет
27451;360814;40,54
86670;570989;22,89
161552;438494;нет
161553;438495;нет
374756;568533;нет
66019;329383;нет
99576;352735;14,66
78253;346463;нет
99577;357038;нет
99575;357037;14,41
78251;357036;8,38
78252;345866;8,52
171895;438114;нет
171896;436358;нет
82990;385826;нет
82991;385450;нет
80894;387257;нет
81996;386132;нет
80895;386133;нет
82993;387255;нет
112179;386136;нет
80899;385453;нет
80900;385452;нет
82992;385447;нет
80903;387462;нет
80904;387463;нет
80905;386373;нет
88949;385449;нет
85923;353154;19,93
190321;439431;нет
158285;530991;нет
158283;532662;нет
158288;533533;нет
158287;577678;нет
158283;581996;нет
158285;581997;нет
158283;581998;нет
158283;581999;нет
158285;581987;нет
85433;534004;нет
117258;396225;нет
